900	58518.0874951885	89.4020867731696	7.66E-06
5404	58518.1091159196	89.4020906365271	5.30E-07
3600	58518.1812930274	89.4020933266529	1.06E-06
900	58519.0837726838	89.4020896318302	7.87E-06
3227	58519.0962381595	89.4021059128578	1.24E-06
875	58519.1425120342	89.4020859917510	8.19E-06
900	58519.1561928022	89.4020973081134	7.95E-06
3600	58519.1780797132	89.4020997783980	1.06E-06
900	58520.0760215147	89.4021024433380	8.39E-06
900	58520.0884522579	89.4021095636957	8.43E-06
2200	58520.1023529290	89.4021142464989	2.27E-06
7440	58520.1279088649	89.4021122420711	3.66E-07
11400	58521.0875059067	89.4021225929515	1.96E-07
3826	58522.0830285776	89.4021326777814	1.12E-06
3137	58524.0741640666	89.4021560517968	6.09E-07
6221	58524.1267688397	89.4021539013312	2.31E-07
1616	58525.0591748453	89.4021731506537	2.85E-06
4380	58525.0779713459	89.4021659696352	4.08E-07
4200	58526.1506441754	89.4021790283530	5.47E-07
900	58527.0666942665	89.4021910985595	5.68E-06
2451	58527.0828286726	89.4021836107003	1.28E-06
3747	58527.1113011499	89.4021855982244	6.99E-07
12540	58528.0557534896	89.4021983325372	1.30E-07
10217	58529.0660851511	89.4022084737207	1.74E-07
3216	58530.0569829704	89.4022204899712	9.57E-07
8220	58530.0942980265	89.4022209348551	2.51E-07
2303	58531.1124983629	89.4022267040934	1.71E-06
4620	58531.1392461895	89.4022278211077	6.04E-07
7149	58532.0854892700	89.4022432012351	2.98E-07
5613	58533.0470325560	89.4022551455895	4.50E-07
6419	58533.1121022493	89.4022523718174	4.18E-07
12600	58534.0392811611	89.4022630818565	1.36E-07
977	58535.0558461065	89.4022725757278	5.98E-06
9840	58535.0672465946	89.4022732078024	1.94E-07
10800	58536.0479193882	89.4022848938897	2.03E-07
10800	58538.0261143371	89.4023059183596	1.66E-07
1500	58538.1581281435	89.4022997772288	3.63E-06
10800	58539.0377568190	89.4023178817223	1.97E-07
12240	58540.0274308703	89.4023278420463	1.45E-07
12218	58541.0207499009	89.4023382081191	1.34E-07
